Song,Arranger,Voicing
My Wild Irish Rose,Floyd Connett,TTBB
Wait Till the Sun Shines Nellie,Warren ""Buzz"" Haeger,TTBB
"Sweet and Lovely (That's What You Are To Me)",Mac Huff,TTBB
Down Our Way,Floyd Connett,TTBB
"Honey/Little 'Lize Medley",Floyd Connett,TTBB
Let Me Call You Sweetheart,Barbershop Harmony Society,TTBB
"Sweet, Sweet Roses of Morn",Floyd Connett,TTBB
Shine on Me,Floyd Connett,TTBB
The Story of the Rose (Heart of My Heart),Barbershop Harmony Society,TTBB
Sweet Adeline,Barbershop Harmony Society,TTBB
Down By the Old Mill Stream,Barbershop Harmony Society,TTBB
You Tell Me Your Dream,Phil Embury,TTBB
